1    20.0      0.1                 1
    100.00
 -0.286498632377E+02 -0.109733895136E+02 -0.908224056335E+00  0.414948197774E+00                      0.806500710116E+00  0.551513986914E-01
 -0.285967516650E+02 -0.109132050933E+02 -0.926846562146E+00  0.420482864307E+00                      0.806781809272E+00  0.550466876225E-01
 -0.285436400923E+02 -0.108530206730E+02 -0.945469067956E+00  0.426017530840E+00                      0.807062908427E+00  0.549419765537E-01
 -0.284539774737E+02 -0.107521896032E+02 -0.976865619214E+00  0.435229025785E+00                      0.807543987774E+00  0.547645253012E-01
 -0.283263607332E+02 -0.106100302539E+02 -0.102130065326E+01  0.448083673958E+00                      0.808244198615E+00  0.545099377721E-01
 -0.281585946562E+02 -0.104258329982E+02 -0.107916782479E+01  0.464510176324E+00                      0.809190867244E+00  0.541720768275E-01
 -0.279477096941E+02 -0.101991099422E+02 -0.115085255567E+01  0.484375115868E+00                      0.810419907635E+00  0.537431074672E-01
 -0.276898242177E+02 -0.992994096627E+01 -0.123662352942E+01  0.507450285597E+00                      0.811976191596E+00  0.532135902863E-01
 -0.273799602239E+02 -0.961941307654E+01 -0.133648388247E+01  0.533372829308E+00                      0.813913726304E+00  0.525726551561E-01
 -0.270118291367E+02 -0.927013974061E+01 -0.144997650401E+01  0.561600255735E+00                      0.816295426863E+00  0.518082917919E-01
 -0.265776415328E+02 -0.888681996435E+01 -0.157594337526E+01  0.591364882334E+00                      0.819192200758E+00  0.509077980901E-01
 -0.260680544936E+02 -0.847675775036E+01 -0.171224956593E+01  0.621635686159E+00                      0.822680993386E+00  0.498584258287E-01
 -0.254724490100E+02 -0.805021574704E+01 -0.185549989577E+01  0.651099479418E+00                      0.826841402721E+00  0.486482524135E-01
 -0.247798039066E+02 -0.762043583947E+01 -0.200080022260E+01  0.678176629955E+00                      0.831750494655E+00  0.472672822743E-01
 -0.239804472757E+02 -0.720314853010E+01 -0.214164215109E+01  0.701087141654E+00                      0.837475590516E+00  0.457087390340E-01
 -0.230688351343E+02 -0.681544289534E+01 -0.227001037644E+01  0.717978101879E+00                      0.844065108471E+00  0.439704507718E-01
 -0.220471446364E+02 -0.647400113003E+01 -0.237681046023E+01  0.727111126050E+00                      0.851538050271E+00  0.420561644870E-01
 -0.209288730616E+02 -0.619290379380E+01 -0.245267372899E+01  0.727088911601E+00                      0.859873396256E+00  0.399765711160E-01
 -0.197409932669E+02 -0.598141915369E+01 -0.248910494003E+01  0.717078456360E+00                      0.869001355237E+00  0.377498053941E-01
 -0.185229538515E+02 -0.584229882774E+01 -0.247980912656E+01  0.696974728539E+00                      0.878798839443E+00  0.354012293924E-01
 -0.173214162495E+02 -0.577102740592E+01 -0.242190993159E+01  0.667453201178E+00                      0.889091368181E+00  0.329624211917E-01
 -0.161812359223E+02 -0.575622142717E+01 -0.231671851347E+01  0.629886766132E+00                      0.899662622230E+00  0.304694478753E-01
 -0.151352298986E+02 -0.578105745456E+01 -0.216978380029E+01  0.586143922329E+00                      0.910271156456E+00  0.279606547802E-01
 -0.141965076234E+02 -0.582538074147E+01 -0.199015049812E+01  0.538322325010E+00                      0.920671820676E+00  0.254742952834E-01
